Entity,Code,Date,"Excess mortality P-scores, all ages"
Austria,AUT,2020-01-05,-10.83
Austria,AUT,2020-01-12,-8.35
Austria,AUT,2020-01-19,0.59
Austria,AUT,2020-01-26,1.83
Austria,AUT,2020-02-02,7.06
Austria,AUT,2020-02-09,-8.43
Austria,AUT,2020-02-16,-5.06
Austria,AUT,2020-02-23,-5.65
Austria,AUT,2020-03-01,-2.62
Austria,AUT,2020-03-08,-0.55
Austria,AUT,2020-03-15,0.39
Austria,AUT,2020-03-22,14.89
Austria,AUT,2020-03-29,7.24
Austria,AUT,2020-04-05,15.3
Austria,AUT,2020-04-12,15.96
Austria,AUT,2020-04-19,11.86
Austria,AUT,2020-04-26,8.01
Austria,AUT,2020-05-03,1.05
Austria,AUT,2020-05-10,5.6
Austria,AUT,2020-05-17,1.78
Austria,AUT,2020-05-24,4.18
Austria,AUT,2020-05-31,0.25
Austria,AUT,2020-06-07,5.49
Austria,AUT,2020-06-14,1.22
Austria,AUT,2020-06-21,0.38
Austria,AUT,2020-06-28,2.66
Austria,AUT,2020-07-05,8.77
Austria,AUT,2020-07-12,0.41
Austria,AUT,2020-07-19,-1.82
Austria,AUT,2020-07-26,-2.47
Austria,AUT,2020-08-02,1.48
Austria,AUT,2020-08-09,0.48
Austria,AUT,2020-08-16,10.02
Austria,AUT,2020-08-23,3.01
Austria,AUT,2020-08-30,5.06
Austria,AUT,2020-09-06,10.59
Austria,AUT,2020-09-13,10.05
Austria,AUT,2020-09-20,10.26
Austria,AUT,2020-09-27,4.1
Austria,AUT,2020-10-04,5.01
Austria,AUT,2020-10-11,6.91
Austria,AUT,2020-10-18,7.49
Austria,AUT,2020-10-25,17.89
Austria,AUT,2020-11-01,25.31
Austria,AUT,2020-11-08,32.9
Austria,AUT,2020-11-15,47.19
Austria,AUT,2020-11-22,56.83
Austria,AUT,2020-11-29,57.87
Austria,AUT,2020-12-06,58.89
Austria,AUT,2020-12-13,53.97
Austria,AUT,2020-12-20,36.67
Austria,AUT,2020-12-27,21.95
Austria,AUT,2021-01-03,15.09
Austria,AUT,2021-01-10,7.46
Austria,AUT,2021-01-17,4.52
Belgium,BEL,2020-01-05,-6.17
Belgium,BEL,2020-01-12,-0.97
Belgium,BEL,2020-01-19,-4
Belgium,BEL,2020-01-26,-8.64
Belgium,BEL,2020-02-02,-5.46
Belgium,BEL,2020-02-09,-12.43
Belgium,BEL,2020-02-16,-8.03
Belgium,BEL,2020-02-23,-6.95
Belgium,BEL,2020-03-01,-11.27
Belgium,BEL,2020-03-08,-9.41
Belgium,BEL,2020-03-15,-3.86
Belgium,BEL,2020-03-22,10.8
Belgium,BEL,2020-03-29,44.42
Belgium,BEL,2020-04-05,90.79
Belgium,BEL,2020-04-12,105.61
Belgium,BEL,2020-04-19,81.39
Belgium,BEL,2020-04-26,50.38
Belgium,BEL,2020-05-03,20.86
Belgium,BEL,2020-05-10,18.07
Belgium,BEL,2020-05-17,3.32
Belgium,BEL,2020-05-24,5.93
Belgium,BEL,2020-05-31,3.09
Belgium,BEL,2020-06-07,-3.51
Belgium,BEL,2020-06-14,2.39
Belgium,BEL,2020-06-21,-5.13
Belgium,BEL,2020-06-28,3.9
Belgium,BEL,2020-07-05,-12.42
Belgium,BEL,2020-07-12,-8.91
Belgium,BEL,2020-07-19,-2.25
Belgium,BEL,2020-07-26,-8.91
Belgium,BEL,2020-08-02,3.85
Belgium,BEL,2020-08-09,9.1
Belgium,BEL,2020-08-16,55.51
Belgium,BEL,2020-08-23,16.89
Belgium,BEL,2020-08-30,-1.57
Belgium,BEL,2020-09-06,2.98
Belgium,BEL,2020-09-13,-2.27
Belgium,BEL,2020-09-20,6.76
Belgium,BEL,2020-09-27,1.02
Belgium,BEL,2020-10-04,-2.18
Belgium,BEL,2020-10-11,2.33
Belgium,BEL,2020-10-18,7.53
Belgium,BEL,2020-10-25,31.64
Belgium,BEL,2020-11-01,65.83
Belgium,BEL,2020-11-08,84.04
Belgium,BEL,2020-11-15,68.15
Belgium,BEL,2020-11-22,50.99
Belgium,BEL,2020-11-29,37.25
Belgium,BEL,2020-12-06,24.36
Belgium,BEL,2020-12-13,24.94
Belgium,BEL,2020-12-20,20.77
Belgium,BEL,2020-12-27,16.14
Belgium,BEL,2021-01-03,8.24
Belgium,BEL,2021-01-10,1.36
Bulgaria,BGR,2020-01-05,-18.36
Bulgaria,BGR,2020-01-12,-11.59
Bulgaria,BGR,2020-01-19,-13.51
Bulgaria,BGR,2020-01-26,-4.55
Bulgaria,BGR,2020-02-02,-1.09
Bulgaria,BGR,2020-02-09,1.48
Bulgaria,BGR,2020-02-16,0.41
Bulgaria,BGR,2020-02-23,-5.58
Bulgaria,BGR,2020-03-01,-4.4
Bulgaria,BGR,2020-03-08,-9.82
Bulgaria,BGR,2020-03-15,-5.85
Bulgaria,BGR,2020-03-22,-5.78
Bulgaria,BGR,2020-03-29,-2.98
Bulgaria,BGR,2020-04-05,-4.52
Bulgaria,BGR,2020-04-12,-2.44
Bulgaria,BGR,2020-04-19,-2.04
Bulgaria,BGR,2020-04-26,-3.6
Bulgaria,BGR,2020-05-03,-6.06
Bulgaria,BGR,2020-05-10,-5.88
Bulgaria,BGR,2020-05-17,5.81
Bulgaria,BGR,2020-05-24,-3.96
Bulgaria,BGR,2020-05-31,-7.97
Bulgaria,BGR,2020-06-07,-0.13
Bulgaria,BGR,2020-06-14,0.38
Bulgaria,BGR,2020-06-21,-1.94
Bulgaria,BGR,2020-06-28,-3
Bulgaria,BGR,2020-07-05,12.49
Bulgaria,BGR,2020-07-12,5.16
Bulgaria,BGR,2020-07-19,-1.55
Bulgaria,BGR,2020-07-26,0.36
Bulgaria,BGR,2020-08-02,9.96
Bulgaria,BGR,2020-08-09,6.38
Bulgaria,BGR,2020-08-16,6.01
Bulgaria,BGR,2020-08-23,4.09
Bulgaria,BGR,2020-08-30,6.21
Bulgaria,BGR,2020-09-06,7.11
Bulgaria,BGR,2020-09-13,5.1
Bulgaria,BGR,2020-09-20,1.63
Bulgaria,BGR,2020-09-27,2.03
Bulgaria,BGR,2020-10-04,2
Bulgaria,BGR,2020-10-11,4.55
Bulgaria,BGR,2020-10-18,4.53
Bulgaria,BGR,2020-10-25,14.95
Bulgaria,BGR,2020-11-01,30.52
Bulgaria,BGR,2020-11-08,53.26
Bulgaria,BGR,2020-11-15,84.58
Bulgaria,BGR,2020-11-22,110.12
Bulgaria,BGR,2020-11-29,123.93
Bulgaria,BGR,2020-12-06,117.92
Bulgaria,BGR,2020-12-13,97.38
Bulgaria,BGR,2020-12-20,75.41
Bulgaria,BGR,2020-12-27,35.87
Bulgaria,BGR,2021-01-03,22.72
Bulgaria,BGR,2021-01-10,-1.84
Bulgaria,BGR,2021-01-17,-6.97
Canada,CAN,2020-01-05,1.53
Canada,CAN,2020-01-12,1.46
Canada,CAN,2020-01-19,1.03
Canada,CAN,2020-01-26,3.44
Canada,CAN,2020-02-02,0.42
Canada,CAN,2020-02-09,1.81
Canada,CAN,2020-02-16,-1.13
Canada,CAN,2020-02-23,-1.21
Canada,CAN,2020-03-01,1.63
Canada,CAN,2020-03-08,2.14
Canada,CAN,2020-03-15,1.9
Canada,CAN,2020-03-22,5.85
Canada,CAN,2020-03-29,7.34
Canada,CAN,2020-04-05,16.18
Canada,CAN,2020-04-12,21.62
Canada,CAN,2020-04-19,23.58
Canada,CAN,2020-04-26,29.83
Canada,CAN,2020-05-03,28.43
Canada,CAN,2020-05-10,22.75
Canada,CAN,2020-05-17,19.16
Canada,CAN,2020-05-24,15.87
Canada,CAN,2020-05-31,17.48
Canada,CAN,2020-06-07,11.28
Canada,CAN,2020-06-14,4.9
Canada,CAN,2020-06-21,7.88
Canada,CAN,2020-06-28,7.79
Canada,CAN,2020-07-05,4.69
Canada,CAN,2020-07-12,9.14
Canada,CAN,2020-07-19,8.6
Canada,CAN,2020-07-26,7.3
Canada,CAN,2020-08-02,8.77
Canada,CAN,2020-08-09,6.83
Canada,CAN,2020-08-16,11.43
Canada,CAN,2020-08-23,11.12
Canada,CAN,2020-08-30,6.17
Canada,CAN,2020-09-06,10.23
Canada,CAN,2020-09-13,8.06
Canada,CAN,2020-09-20,10.3
Canada,CAN,2020-09-27,12.72
Canada,CAN,2020-10-04,8.78
Canada,CAN,2020-10-11,10.83
Canada,CAN,2020-10-18,2.48
Chile,CHL,2020-01-05,7.57
Chile,CHL,2020-01-12,11.54
Chile,CHL,2020-01-19,8.65
Chile,CHL,2020-01-26,2.66
